region,claimdy,claim,name,dyadnum,chal,tgt,dyad,begclaim,endclaim,resolved,endviol,icowsal,icowsalc,salchal,saltgt,saltan,salint,salintc,salintt,midsiss,midsfat,warsiss,version,chalname,tgtname,notes,chalname2,tgtname2,startyear,endyear,years,dys
3,41201,412,Lete Island,1,434,436,Benin-Niger,196010,200507,12,-9,7,2,3,4,2,5,2,3,2,0,0,1.01,Benin,Niger,NA,NA,NA,1960,2005,(1960-2005),Benin-Niger (1960-2005)
3,41801,418,Burkina Faso/Niger border,1,439,436,Burkina Faso-Niger,196010,201505,12,-9,6,2,3,3,2,4,2,2,0,0,0,1.01,Burkina Faso,Niger,NA,NA,NA,1960,2015,(1960-2015),Burkina Faso-Niger (1960-2015)
3,42201,422,Western Sipilou,1,438,437,Guinea-Cote d'Ivoire,199508,201799,NA,-9,9,3,4,5,4,5,2,3,1,0,0,1.01,Guinea,Cote d'Ivoire,NA,NA,Cote d'Ivoire,1995,2017,(1995-2017),Guinea-Cote d'Ivoire (1995-2017)
3,50201,502,Corisco Bay Islands,1,481,411,Gabon-Equatorial Guinea,197208,201799,NA,-9,10,3,5,5,6,4,2,2,1,0,0,1.01,Gabon,Equatorial Guinea,NA,NA,NA,1972,2017,(1972-2017),Gabon-Equatorial Guinea (1972-2017)
3,50404,504,Bakassi Peninsula,4,475,471,Nigeria-Cameroon,197701,200808,12,-9,12,3,6,6,6,6,3,3,7,5,0,1.01,Nigeria,Cameroon,NA,NA,NA,1977,2008,(1977-2008),Nigeria-Cameroon (1977-2008)
3,50405,504,Darak & Lake Chad Islands,5,475,471,Nigeria-Cameroon,199404,20012,12,-9,5,2,2,3,2,3,1,2,4,4,0,1.01,Nigeria,Cameroon,NA,NA,NA,1994,2001,(1994-2001),Nigeria-Cameroon (1994-2001)
3,53401,534,Migingo Island,1,500,501,Uganda-Kenya,200110,201799,NA,-9,7,2,3,4,4,3,1,2,0,0,0,1.01,Uganda,Kenya,NA,NA,NA,2001,2017,(2001-2017),Uganda-Kenya (2001-2017)
3,55003,550,Ilemi Triangle,3,501,625,Kenya-Sudan,196701,201107,NA,-9,11,3,5,6,6,5,2,3,0,0,0,1.01,Kenya,Sudan,claim transfers to South Sudan in 2011,NA,NA,1967,2011,(1967-2011),Kenya-Sudan (1967-2011)
3,56405,564,Sultanate of Raheita,5,531,522,Eritrea-Djibouti,199604,201799,NA,-9,7,2,3,4,2,5,2,3,1,0,0,1.01,Eritrea,Djibouti,NA,NA,NA,1996,2017,(1996-2017),Eritrea-Djibouti (1996-2017)
3,56802,568,Badme-Zalambessa-Altena-Bure,2,531,530,Eritrea-Ethiopia,199305,201799,NA,-9,6,2,3,3,2,4,2,2,1,1,1,1.01,Eritrea,Ethiopia,NA,NA,NA,1993,2017,(1993-2017),Eritrea-Ethiopia (1993-2017)
3,57003,570,al-Fashqa Farmland,3,625,530,Sudan-Ethiopia,199407,201799,NA,-9,5,2,2,3,2,3,1,2,1,1,0,1.01,Sudan,Ethiopia,NA,NA,NA,1994,2017,(1994-2017),Sudan-Ethiopia (1994-2017)
3,57401,574,Chagos Archipelago,1,590,200,Mauritius-United Kingdom,198010,201799,NA,-9,6,2,3,3,4,2,1,1,0,0,0,1.01,Mauritius,United Kingdom,NA,NA,United Kingdom,1980,2017,(1980-2017),Mauritius-United Kingdom (1980-2017)
3,61001,610,Lundu-Papia-Ngkuyo Islands,1,510,553,Tanzania-Malawi,196701,201799,NA,-9,7,2,3,4,4,3,1,2,0,0,0,1.01,Tanzania,Malawi,NA,Tanzania,NA,1967,2017,(1967-2017),Tanzania-Malawi (1967-2017)
3,63604,636,Orange River Islands,4,565,560,Namibia-South Africa,199003,201799,NA,-9,7,2,3,4,4,3,1,2,0,0,0,1.01,Namibia,South Africa,NA,NA,NA,1990,2017,(1990-2017),Namibia-South Africa (1990-2017)
3,64001,640,KaNgwane-Ngwavuma-Nsikazi,1,572,560,Swaziland-South Africa,198107,201799,NA,-9,11,3,5,6,6,5,2,3,0,0,0,1.01,Swaziland,South Africa,NA,NA,NA,1981,2017,(1981-2017),Swaziland-South Africa (1981-2017)
3,64401,644,Iles Eparses,1,580,220,Madagascar-France,196006,201799,NA,-9,6,2,3,3,4,2,1,1,0,0,0,1.01,Madagascar,France,NA,NA,NA,1960,2017,(1960-2017),Madagascar-France (1960-2017)
3,64601,646,Mayotte,1,581,220,Comoros-France,197512,201799,NA,-9,6,2,3,3,4,2,1,1,0,0,0,1.01,Comoros,France,NA,NA,NA,1975,2017,(1975-2017),Comoros-France (1975-2017)
3,64802,648,Tromelin Island,2,590,220,Mauritius-France,197604,201799,NA,-9,4,1,2,2,2,2,1,1,0,0,0,1.01,Mauritius,France,NA,NA,NA,1976,2017,(1976-2017),Mauritius-France (1976-2017)
3,67004,670,Ceuta-Melilla-Chafarinas Islands,4,600,230,Morocco-Spain,195603,201799,NA,-9,7,2,4,3,4,3,2,1,2,0,0,1.01,Morocco,Spain,NA,NA,NA,1956,2017,(1956-2017),Morocco-Spain (1956-2017)
3,69603,696,Halaib Triangle,3,651,625,Egypt-Sudan,199202,201799,NA,-9,8,3,4,4,4,4,2,2,2,2,0,1.01,Egypt,Sudan,NA,NA,NA,1992,2017,(1992-2017),Egypt-Sudan (1992-2017)
4,71605,716,Hatay (Alexandretta),5,652,640,Syrian Arab Republic-Turkey,196109,201799,NA,-9,10,3,5,5,4,6,3,3,1,0,0,1.01,Syrian Arab Republic,Turkey,NA,NA,NA,1961,2017,(1961-2017),Syrian Arab Republic-Turkey (1961-2017)
4,74002,740,Shebaa Farms,2,660,666,Lebanon-Israel,200005,201799,NA,-9,6,2,3,3,2,4,2,2,0,0,0,1.01,Lebanon,Israel,NA,NA,NA,2000,2017,(2000-2017),Lebanon-Israel (2000-2017)
4,74201,742,Tabariyat & Daraa,1,652,663,Syrian Arab Republic-Jordan,197009,201505,4,-9,6,2,3,3,2,4,2,2,0,0,0,1.01,Syrian Arab Republic,Jordan,NA,NA,NA,1970,2015,(1970-2015),Syrian Arab Republic-Jordan (1970-2015)
4,74403,744,Golan Heights & Syria-Israel DMZ,3,652,666,Syrian Arab Republic-Israel,196109,201799,NA,-9,12,3,6,6,6,6,3,3,18,9,2,1.01,Syrian Arab Republic,Israel,NA,NA,NA,1961,2017,(1961-2017),Syrian Arab Republic-Israel (1961-2017)
4,76802,768,Abu Musa & Tunb Islands,2,696,630,United Arab Emirates-Iran,197112,201799,NA,-9,10,3,5,5,6,4,2,2,1,0,0,1.01,United Arab Emirates,Iran,NA,NA,Iran,1971,2017,(1971-2017),United Arab Emirates-Iran (1971-2017)
5,80006,800,Amur & Ussuri River Islands,6,710,365,China-Russian Federation,195401,200810,4,-9,8,3,4,4,4,4,2,2,9,5,0,1.01,China,Russian Federation,NA,NA,NA,1954,2008,(1954-2008),China-Russian Federation (1954-2008)
5,80903,809,Taiwan,3,710,713,China-Taiwan,194912,201799,NA,-9,12,3,6,6,6,6,3,3,17,8,0,1.01,China,Taiwan,NA,NA,Taiwan,1949,2017,(1949-2017),China-Taiwan (1949-2017)
5,80904,809,China,4,713,710,Taiwan-China,194912,201799,NA,-9,12,3,6,6,6,6,3,3,0,0,0,1.01,Taiwan,China,NA,Taiwan,NA,1949,2017,(1949-2017),Taiwan-China (1949-2017)
5,81103,811,Pescadores Islands,3,710,713,China-Taiwan,194912,201799,NA,-9,8,3,4,4,4,4,2,2,0,0,0,1.01,China,Taiwan,NA,NA,Taiwan,1949,2017,(1949-2017),China-Taiwan (1949-2017)
5,82001,820,Diaoyu/Senkaku Islands,1,710,740,China-Japan,197205,201799,NA,-9,6,2,3,3,2,4,2,2,4,0,0,1.01,China,Japan,NA,NA,NA,1972,2017,(1972-2017),China-Japan (1972-2017)
5,82002,820,Diaoyu/Senkaku Islands,2,713,740,Taiwan-Japan,197205,201799,NA,-9,6,2,3,3,2,4,2,2,1,0,0,1.01,Taiwan,Japan,NA,Taiwan,NA,1972,2017,(1972-2017),Taiwan-Japan (1972-2017)
5,82603,826,South Korea,3,731,732,North Korea-South Korea,194906,201799,NA,-9,11,3,5,6,6,5,2,3,0,0,0,1.01,North Korea,South Korea,NA,North Korea,South Korea,1949,2017,(1949-2017),North Korea-South Korea (1949-2017)
5,82604,826,North Korea,4,732,731,South Korea-North Korea,194906,201799,NA,-9,11,3,5,6,6,5,2,3,22,15,1,1.01,South Korea,North Korea,NA,South Korea,North Korea,1949,2017,(1949-2017),South Korea-North Korea (1949-2017)
5,82804,828,Kuril Islands & South Sakhalin,4,740,365,Japan-Russian Federation,195204,201799,NA,-9,12,3,6,6,6,6,3,3,17,0,0,1.01,Japan,Russian Federation,NA,NA,NA,1952,2017,(1952-2017),Japan-Russian Federation (1952-2017)
5,83001,830,Dokdo (Takeshima) Islands,1,740,732,Japan-South Korea,195204,201799,NA,-9,6,2,3,3,2,4,2,2,3,0,0,1.01,Japan,South Korea,NA,NA,South Korea,1952,2017,(1952-2017),Japan-South Korea (1952-2017)
5,84002,840,Russian Military Bases,2,372,365,Georgia-Russian Federation,199610,200711,4,-9,7,2,4,3,4,3,2,1,0,0,0,1.01,Georgia,Russian Federation,NA,NA,NA,1996,2007,(1996-2007),Georgia-Russian Federation (1996-2007)
5,85001,850,Karki,1,371,373,Armenia-Azerbaijan,199205,201799,NA,-9,7,2,3,4,2,5,2,3,0,0,0,1.01,Armenia,Azerbaijan,NA,NA,NA,1992,2017,(1992-2017),Armenia-Azerbaijan (1992-2017)
5,87401,874,Batken-Isfara,1,702,703,Tajikistan-Kyrgyzstan,200001,201799,NA,-9,7,2,3,4,2,5,2,3,0,0,0,1.01,Tajikistan,Kyrgyzstan,NA,NA,NA,2000,2017,(2000-2017),Tajikistan-Kyrgyzstan (2000-2017)
5,87705,877,Sarykol Range,5,710,702,China-Tajikistan,199112,201101,4,-9,10,3,5,5,4,6,3,3,0,0,0,1.01,China,Tajikistan,NA,NA,NA,1991,2011,(1991-2011),China-Tajikistan (1991-2011)
5,88001,880,Sokh Enclave Corridor,1,704,703,Uzbekistan-Kyrgyzstan,199810,201799,NA,-9,9,3,4,5,4,5,2,3,1,0,0,1.01,Uzbekistan,Kyrgyzstan,NA,NA,NA,1998,2017,(1998-2017),Uzbekistan-Kyrgyzstan (1998-2017)
5,88201,882,Kyrgyzstan/Kazakhstan Border,1,705,703,Kazakhstan-Kyrgyzstan,199112,200808,4,-9,11,3,5,6,6,5,2,3,0,0,0,1.01,Kazakhstan,Kyrgyzstan,NA,NA,NA,1991,2008,(1991-2008),Kazakhstan-Kyrgyzstan (1991-2008)
5,88601,886,Bagys & Turkestan,1,704,705,Uzbekistan-Kazakhstan,199911,201799,NA,-9,9,3,4,5,4,5,2,3,0,0,0,1.01,Uzbekistan,Kazakhstan,NA,NA,NA,1999,2017,(1999-2017),Uzbekistan-Kazakhstan (1999-2017)
5,90802,908,Pashtunistan (Durand Line),2,700,770,Afghanistan-Pakistan,194708,201799,NA,-9,10,3,5,5,4,6,3,3,8,3,0,1.01,Afghanistan,Pakistan,NA,NA,NA,1947,2017,(1947-2017),Afghanistan-Pakistan (1947-2017)
5,91102,911,Sikkim,2,710,750,China-India,195912,201799,NA,-9,8,3,4,4,4,4,2,2,5,2,0,1.01,China,India,NA,NA,NA,1959,2017,(1959-2017),China-India (1959-2017)
5,91202,912,Arunachal Pradesh,2,710,750,China-India,194708,201799,NA,-9,12,3,6,6,6,6,3,3,6,3,1,1.01,China,India,NA,NA,NA,1947,2017,(1947-2017),China-India (1947-2017)
5,91402,914,Doklam-Sinchulumpa-Gieu,2,710,760,China-Bhutan,197109,201799,NA,-9,5,2,2,3,2,3,1,2,0,0,0,1.01,China,Bhutan,NA,NA,NA,1971,2017,(1971-2017),China-Bhutan (1971-2017)
5,92201,922,Jammu & Kashmir,1,770,750,Pakistan-India,194710,201799,NA,-9,9,3,4,5,4,5,2,3,29,19,4,1.01,Pakistan,India,NA,NA,NA,1947,2017,(1947-2017),Pakistan-India (1947-2017)
5,92202,922,Azad Kashmir & Northern Areas,2,750,770,India-Pakistan,194901,201799,NA,-9,12,3,6,6,6,6,3,3,1,1,0,1.01,India,Pakistan,NA,NA,NA,1949,2017,(1949-2017),India-Pakistan (1949-2017)
5,92205,922,Trans-Karakoram Tract & Aksai Chin,5,750,710,India-China,196205,201799,NA,-9,8,3,4,4,4,4,2,2,2,0,0,1.01,India,China,NA,NA,NA,1962,2017,(1962-2017),India-China (1962-2017)
5,92302,923,Junagadh,2,770,750,Pakistan-India,194711,201799,NA,-9,8,3,4,4,2,6,3,3,0,0,0,1.01,Pakistan,India,NA,NA,NA,1947,2017,(1947-2017),Pakistan-India (1947-2017)
5,93003,930,Muhurir Char & Bengali Enclaves,3,750,771,India-Bangladesh,197112,201506,4,-9,7,2,3,4,2,5,2,3,1,0,0,1.01,India,Bangladesh,NA,NA,NA,1971,2015,(1971-2015),India-Bangladesh (1971-2015)
5,93004,930,Tin Bigha Corridor & Bengali Enclaves,4,771,750,Bangladesh-India,197112,201506,4,-9,8,3,4,4,2,6,3,3,1,1,0,1.01,Bangladesh,India,NA,NA,NA,1971,2015,(1971-2015),Bangladesh-India (1971-2015)
5,93201,932,New Moore (South Talpatty) Island,1,771,750,Bangladesh-India,197904,201003,15,-9,5,2,2,3,2,3,1,2,0,0,0,1.01,Bangladesh,India,resolved by climate change (new code),NA,NA,1979,2010,(1979-2010),Bangladesh-India (1979-2010)
5,93401,934,Kalapani,1,790,750,Nepal-India,199706,201799,NA,-9,8,3,4,4,4,4,2,2,0,0,0,1.01,Nepal,India,NA,NA,NA,1997,2017,(1997-2017),Nepal-India (1997-2017)
